iter	Passed	Remaining
0	1	178
1	3	162
2	4	155
3	6	151
4	7	148
5	9	145
6	10	142
7	12	140
8	13	140
9	15	138
10	16	137
11	18	135
12	19	133
13	21	133
14	23	132
15	24	130
16	26	128
17	27	126
18	29	127
19	31	125
20	32	123
21	34	121
22	35	119
23	37	118
24	39	117
25	40	115
26	41	113
27	43	111
28	45	111
29	47	110
30	48	108
31	50	107
32	52	105
33	53	104
34	55	102
35	57	101
36	59	100
37	61	99
38	63	99
39	66	99
40	68	98
41	70	97
42	72	95
43	74	94
44	75	92
45	77	90
46	79	89
47	80	87
48	82	85
49	83	83
50	85	82
51	87	80
52	89	79
53	90	77
54	92	75
55	93	73
56	95	71
57	96	70
58	98	68
59	99	66
60	101	64
61	102	62
62	104	61
63	105	59
64	106	57
65	108	55
66	109	53
67	111	52
68	112	50
69	114	48
70	115	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	125	37
77	127	35
78	128	34
79	130	32
80	131	30
81	133	29
82	134	27
83	136	25
84	137	24
85	139	22
86	141	21
87	142	19
88	144	17
89	145	16
90	146	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	155	4
97	157	3
98	158	1
99	160	0
