iter	Passed	Remaining
0	400	400330
1	404	201848
2	407	135449
3	416	103794
4	419	83418
5	421	69836
6	424	60153
7	426	52876
8	428	47227
9	431	42736
10	436	39260
11	441	36363
12	447	33963
13	449	31673
14	451	29669
15	453	27914
16	458	26523
17	460	25125
18	462	23873
19	464	22741
20	467	21774
21	469	20872
22	471	20025
23	473	19256
24	475	18537
25	481	18042
26	484	17467
27	487	16915
28	489	16398
29	494	15976
30	497	15540
31	505	15287
32	508	14887
33	512	14562
34	514	14186
35	516	13824
36	518	13497
37	521	13198
38	527	12999
39	530	12721
40	532	12459
41	535	12208
42	537	11955
43	542	11793
44	544	11559
45	546	11338
46	552	11192
47	554	10991
48	555	10789
49	559	10623
50	563	10483
51	566	10324
52	568	10152
53	569	9982
54	574	9863
55	575	9707
56	577	9557
57	579	9411
58	581	9271
59	583	9134
60	584	8998
61	586	8866
62	587	8739
63	589	8617
64	590	8499
65	592	8382
66	596	8306
67	598	8197
68	599	8090
69	601	7987
70	602	7885
71	604	7787
72	605	7691
73	607	7599
74	608	7510
75	610	7424
76	612	7337
77	613	7252
78	615	7170
79	618	7109
80	620	7034
81	622	6964
82	622	6882
83	624	6811
84	626	6745
85	628	6676
86	630	6611
87	631	6547
88	633	6482
89	634	6419
90	637	6363
91	639	6312
92	641	6253
93	642	6196
94	644	6140
95	646	6086
96	647	6031
97	649	5979
98	651	5925
99	652	5875
100	654	5825
101	655	5775
102	657	5725
103	661	5699
104	663	5654
105	664	5608
106	666	5562
107	668	5518
108	669	5474
109	671	5431
110	672	5387
111	674	5345
112	676	5308
113	679	5277
114	683	5261
115	685	5227
116	687	5191
117	690	5157
118	691	5122
119	693	5087
120	695	5051
121	696	5014
122	699	4985
123	701	4952
124	704	4929
125	706	4900
126	708	4866
127	709	4835
128	711	4804
129	713	4777
130	715	4747
131	717	4719
132	719	4688
133	720	4657
134	722	4627
135	723	4598
136	727	4581
137	728	4553
138	731	4529
139	732	4502
140	734	4474
141	735	4443
142	736	4416
143	738	4389
144	739	4363
145	741	4337
146	743	4312
147	744	4288
148	746	4264
149	749	4247
150	751	4223
151	752	4199
152	754	4176
153	756	4153
154	757	4131
155	759	4109
156	761	4087
157	762	4065
158	764	4044
159	766	4023
160	767	4000
161	772	3995
162	774	3977
163	776	3957
164	778	3937
165	779	3918
166	781	3898
167	783	3878
168	785	3860
169	786	3841
170	788	3821
171	789	3802
172	793	3791
173	795	3775
174	797	3757
175	798	3739
176	800	3721
177	802	3707
178	804	3689
179	805	3671
180	807	3653
181	809	3636
182	810	3619
183	812	3602
184	817	3600
185	818	3584
186	820	3568
187	822	3552
188	824	3536
189	825	3520
190	827	3506
191	829	3491
192	831	3476
193	832	3460
194	834	3445
195	838	3440
196	840	3425
197	842	3412
198	843	3397
199	845	3381
200	846	3366
201	848	3351
202	849	3337
203	851	3322
204	853	3308
205	854	3295
206	856	3281
207	858	3267
208	861	3260
209	863	3246
210	864	3232
211	866	3219
212	867	3205
213	869	3193
214	871	3180
215	872	3167
216	874	3154
217	875	3140
218	877	3128
219	878	3116
220	880	3103
221	884	3100
222	886	3088
223	887	3075
224	889	3063
225	890	3051
226	892	3039
227	893	3026
228	895	3015
229	897	3004
230	898	2992
231	900	2980
232	902	2969
233	904	2960
234	906	2951
235	908	2942
236	911	2934
237	913	2923
238	915	2913
239	917	2904
240	918	2893
241	920	2882
242	921	2871
243	923	2860
244	925	2850
245	928	2846
246	930	2836
247	932	2826
248	933	2815
249	935	2805
250	936	2795
251	938	2785
252	940	2776
253	941	2765
254	943	2755
255	945	2746
256	946	2737
257	950	2733
258	952	2724
259	955	2718
260	957	2710
261	958	2700
262	960	2691
263	962	2682
264	963	2672
265	965	2663
266	967	2655
267	969	2647
268	973	2644
269	975	2636
270	977	2628
271	979	2622
272	981	2614
273	983	2607
274	986	2599
275	988	2591
276	990	2584
277	993	2581
278	996	2575
279	998	2568
280	1000	2560
281	1002	2552
282	1004	2545
283	1006	2537
284	1008	2529
285	1010	2521
286	1011	2513
287	1013	2505
288	1015	2497
289	1017	2492
290	1019	2484
291	1021	2477
292	1023	2469
293	1025	2462
294	1027	2454
295	1028	2446
296	1029	2437
297	1031	2429
298	1033	2422
299	1035	2416
300	1039	2412
301	1040	2405
302	1042	2397
303	1043	2389
304	1045	2381
305	1046	2374
306	1048	2367
307	1050	2359
308	1051	2352
309	1053	2344
310	1055	2337
311	1056	2329
312	1057	2322
313	1061	2318
314	1063	2312
315	1065	2305
316	1066	2298
317	1068	2291
318	1070	2285
319	1072	2278
320	1074	2272
321	1076	2267
322	1079	2261
323	1080	2255
324	1086	2255
325	1089	2253
326	1092	2248
327	1095	2244
328	1097	2239
329	1100	2234
330	1104	2231
331	1113	2240
332	1120	2243
333	1123	2239
334	1125	2233
335	1127	2228
336	1131	2226
337	1135	2224
338	1138	2220
339	1141	2215
340	1143	2210
341	1145	2204
342	1147	2198
343	1152	2198
344	1155	2192
345	1157	2186
346	1159	2181
347	1162	2178
348	1166	2175
349	1168	2169
350	1170	2164
351	1175	2164
352	1177	2158
353	1179	2152
354	1181	2146
355	1183	2140
356	1185	2135
357	1187	2129
358	1190	2124
359	1192	2119
360	1194	2114
361	1199	2114
362	1204	2112
363	1208	2111
364	1211	2106
365	1213	2101
366	1215	2096
367	1217	2091
368	1222	2090
369	1224	2084
370	1226	2079
371	1228	2074
372	1231	2069
373	1233	2064
374	1235	2059
375	1237	2053
376	1239	2047
377	1243	2045
378	1246	2042
379	1249	2037
380	1251	2032
381	1253	2027
382	1255	2022
383	1257	2016
384	1259	2012
385	1263	2009
386	1265	2003
387	1267	1998
388	1269	1993
389	1271	1988
390	1272	1982
391	1274	1977
392	1276	1972
393	1279	1967
394	1281	1962
395	1286	1961
396	1288	1957
397	1290	1952
398	1292	1946
399	1294	1942
400	1296	1937
401	1298	1932
402	1300	1926
403	1302	1921
404	1304	1915
405	1306	1911
406	1308	1906
407	1310	1901
408	1312	1897
409	1314	1891
410	1315	1885
411	1317	1880
412	1319	1875
413	1321	1869
414	1322	1864
415	1324	1859
416	1326	1854
417	1330	1852
418	1332	1847
419	1333	1841
420	1335	1836
421	1337	1831
422	1339	1826
423	1340	1821
424	1342	1816
425	1343	1810
426	1345	1805
427	1347	1800
428	1349	1795
429	1353	1794
430	1355	1789
431	1357	1784
432	1359	1779
433	1360	1774
434	1362	1769
435	1364	1764
436	1366	1759
437	1367	1755
438	1369	1750
439	1371	1745
440	1374	1742
441	1376	1737
442	1378	1732
443	1379	1728
444	1382	1723
445	1384	1720
446	1386	1715
447	1388	1710
448	1389	1705
449	1391	1700
450	1393	1695
451	1398	1695
452	1400	1691
453	1402	1687
454	1405	1683
455	1407	1679
456	1409	1674
457	1411	1670
458	1413	1666
459	1415	1661
460	1419	1659
461	1421	1654
462	1423	1650
463	1425	1646
464	1427	1642
465	1429	1637
466	1431	1633
467	1433	1629
468	1435	1624
469	1436	1620
470	1438	1615
471	1442	1613
472	1443	1608
473	1445	1603
474	1446	1599
475	1448	1594
476	1450	1590
477	1452	1586
478	1454	1581
479	1455	1577
480	1457	1572
481	1459	1568
482	1460	1563
483	1464	1561
484	1466	1557
485	1468	1553
486	1470	1548
487	1472	1544
488	1474	1540
489	1475	1536
490	1477	1531
491	1479	1527
492	1481	1523
493	1483	1519
494	1486	1516
495	1488	1512
496	1489	1507
497	1491	1503
498	1492	1498
499	1494	1494
500	1496	1490
501	1497	1485
502	1499	1481
503	1500	1476
504	1502	1472
505	1503	1468
506	1505	1463
507	1508	1461
508	1510	1456
509	1511	1452
510	1513	1448
511	1515	1444
512	1516	1439
513	1518	1435
514	1520	1431
515	1522	1428
516	1524	1424
517	1526	1420
518	1528	1416
519	1532	1414
520	1533	1410
521	1535	1406
522	1537	1402
523	1539	1398
524	1541	1394
525	1543	1390
526	1545	1386
527	1546	1382
528	1548	1378
529	1550	1375
530	1554	1372
531	1556	1369
532	1558	1365
533	1559	1361
534	1561	1357
535	1564	1354
536	1566	1350
537	1567	1346
538	1569	1342
539	1571	1338
540	1575	1336
541	1577	1332
542	1579	1329
543	1580	1325
544	1582	1321
545	1584	1317
546	1586	1313
547	1587	1309
548	1589	1305
549	1590	1301
550	1592	1297
551	1594	1293
552	1598	1291
553	1600	1288
554	1602	1284
555	1603	1280
556	1605	1277
557	1607	1273
558	1609	1269
559	1611	1266
560	1613	1262
561	1615	1258
562	1617	1255
563	1622	1253
564	1623	1250
565	1625	1246
566	1627	1242
567	1628	1238
568	1630	1235
569	1632	1231
570	1633	1227
571	1635	1224
572	1637	1220
573	1639	1216
574	1643	1214
575	1645	1211
576	1647	1207
577	1648	1203
578	1650	1199
579	1652	1196
580	1653	1192
581	1655	1189
582	1657	1185
583	1658	1181
584	1660	1178
585	1662	1174
586	1664	1171
587	1666	1167
588	1668	1164
589	1670	1160
590	1672	1157
591	1674	1154
592	1676	1150
593	1677	1146
594	1679	1143
595	1680	1139
596	1682	1135
597	1684	1132
598	1687	1129
599	1688	1125
600	1690	1122
601	1691	1118
602	1693	1115
603	1695	1111
604	1697	1107
605	1698	1104
606	1700	1100
607	1701	1097
608	1703	1093
609	1705	1090
610	1709	1088
611	1711	1085
612	1713	1081
613	1715	1078
614	1717	1075
615	1719	1071
616	1721	1068
617	1723	1065
618	1725	1061
619	1726	1058
620	1730	1055
621	1732	1053
622	1734	1049
623	1736	1046
624	1738	1042
625	1739	1039
626	1741	1036
627	1743	1032
628	1744	1028
629	1746	1025
630	1747	1021
631	1749	1018
632	1750	1015
633	1754	1012
634	1756	1009
635	1758	1006
636	1760	1003
637	1761	999
638	1764	996
639	1765	993
640	1767	989
641	1768	986
642	1770	983
643	1772	979
644	1776	977
645	1778	974
646	1780	971
647	1782	968
648	1783	964
649	1785	961
650	1787	958
651	1788	954
652	1790	951
653	1792	948
654	1794	945
655	1797	942
656	1799	939
657	1801	936
658	1802	932
659	1804	929
660	1806	926
661	1807	922
662	1809	919
663	1810	916
664	1812	913
665	1814	909
666	1815	906
667	1817	903
668	1822	901
669	1824	898
670	1825	895
671	1827	891
672	1828	888
673	1830	885
674	1832	882
675	1834	879
676	1835	875
677	1837	872
678	1839	869
679	1842	867
680	1844	864
681	1846	860
682	1848	857
683	1850	855
684	1852	851
685	1853	848
686	1855	845
687	1857	842
688	1858	838
689	1860	835
690	1861	832
691	1867	831
692	1869	828
693	1870	824
694	1872	821
695	1874	818
696	1876	815
697	1877	812
698	1879	809
699	1881	806
700	1882	803
701	1884	799
702	1887	797
703	1888	794
704	1890	791
705	1892	788
706	1893	784
707	1895	781
708	1896	778
709	1898	775
710	1899	772
711	1901	769
712	1902	765
713	1904	762
714	1909	761
715	1910	757
716	1912	754
717	1914	751
718	1915	748
719	1917	745
720	1919	742
721	1920	739
722	1922	736
723	1924	733
724	1925	730
725	1927	727
726	1931	725
727	1933	722
728	1935	719
729	1936	716
730	1938	713
731	1940	710
732	1942	707
733	1943	704
734	1946	701
735	1948	698
736	1949	695
737	1954	693
738	1957	691
739	1959	688
740	1960	685
741	1963	682
742	1964	679
743	1966	676
744	1968	673
745	1969	670
746	1971	667
747	1974	665
748	1977	662
749	1979	659
750	1980	656
751	1982	653
752	1984	650
753	1985	647
754	1987	644
755	1989	641
756	1990	639
757	1992	636
758	1993	633
759	1995	630
760	1997	627
761	1999	624
762	2001	621
763	2003	618
764	2005	615
765	2006	613
766	2008	610
767	2010	607
768	2011	604
769	2013	601
770	2015	598
771	2019	596
772	2021	593
773	2023	590
774	2025	588
775	2027	585
776	2028	582
777	2030	579
778	2032	576
779	2033	573
780	2035	570
781	2036	567
782	2038	564
783	2042	562
784	2044	559
785	2046	557
786	2048	554
787	2049	551
788	2052	548
789	2053	545
790	2055	543
791	2057	540
792	2058	537
793	2060	534
794	2063	532
795	2065	529
796	2067	526
797	2068	523
798	2070	520
799	2073	518
800	2075	515
801	2077	512
802	2078	510
803	2080	507
804	2082	504
805	2086	502
806	2088	499
807	2089	496
808	2091	493
809	2093	491
810	2095	488
811	2096	485
812	2098	482
813	2100	479
814	2101	477
815	2103	474
816	2105	471
817	2108	469
818	2110	466
819	2112	463
820	2114	460
821	2116	458
822	2118	455
823	2119	452
824	2121	450
825	2123	447
826	2124	444
827	2127	441
828	2131	439
829	2133	436
830	2135	434
831	2137	431
832	2139	429
833	2141	426
834	2143	423
835	2145	420
836	2147	418
837	2149	415
838	2152	413
839	2154	410
840	2156	407
841	2157	404
842	2159	402
843	2161	399
844	2162	396
845	2164	394
846	2167	391
847	2169	388
848	2171	386
849	2173	383
850	2176	381
851	2177	378
852	2179	375
853	2181	372
854	2183	370
855	2185	367
856	2186	364
857	2188	362
858	2189	359
859	2191	356
860	2192	354
861	2194	351
862	2199	349
863	2200	346
864	2202	343
865	2204	341
866	2206	338
867	2207	335
868	2209	333
869	2211	330
870	2213	327
871	2214	325
872	2216	322
873	2221	320
874	2222	317
875	2225	315
876	2227	312
877	2230	309
878	2232	307
879	2234	304
880	2236	302
881	2239	299
882	2244	297
883	2246	294
884	2247	292
885	2249	289
886	2251	286
887	2253	284
888	2255	281
889	2257	278
890	2258	276
891	2260	273
892	2261	270
893	2264	268
894	2266	265
895	2268	263
896	2270	260
897	2272	258
898	2274	255
899	2275	252
900	2278	250
901	2280	247
902	2283	245
903	2287	242
904	2290	240
905	2293	237
906	2296	235
907	2300	233
908	2302	230
909	2305	228
910	2310	225
911	2313	223
912	2315	220
913	2324	218
914	2330	216
915	2335	214
916	2338	211
917	2343	209
918	2348	206
919	2351	204
920	2353	201
921	2356	199
922	2358	196
923	2360	194
924	2362	191
925	2365	189
926	2367	186
927	2370	183
928	2373	181
929	2381	179
930	2384	176
931	2387	174
932	2394	171
933	2396	169
934	2400	166
935	2408	164
936	2412	162
937	2416	159
938	2422	157
939	2425	154
940	2428	152
941	2430	149
942	2434	147
943	2437	144
944	2440	142
945	2446	139
946	2448	137
947	2455	134
948	2458	132
949	2461	129
950	2470	127
951	2473	124
952	2476	122
953	2479	119
954	2482	116
955	2484	114
956	2487	111
957	2493	109
958	2496	106
959	2498	104
960	2501	101
961	2504	98
962	2508	96
963	2510	93
964	2515	91
965	2517	88
966	2520	85
967	2522	83
968	2524	80
969	2526	78
970	2529	75
971	2531	72
972	2538	70
973	2541	67
974	2544	65
975	2547	62
976	2550	60
977	2556	57
978	2562	54
979	2564	52
980	2567	49
981	2571	47
982	2576	44
983	2580	41
984	2587	39
985	2590	36
986	2593	34
987	2597	31
988	2604	28
989	2608	26
990	2611	23
991	2614	21
992	2616	18
993	2619	15
994	2621	13
995	2627	10
996	2629	7
997	2631	5
998	2633	2
999	2635	0
